symbol,GeneID_dog,name_dog,GeneID_human,name_human
GP1BA,403638.0,glycoprotein Ib platelet alpha subunit,2811,glycoprotein Ib platelet subunit alpha
MIR195,100886132.0,microRNA 195,406971,microRNA 195
MIR497,100886086.0,microRNA 497,574456,microRNA 497
MIR324,100886014.0,microRNA 324,442898,microRNA 324
SLC2A4,403673.0,solute carrier family 2 member 4,6517,solute carrier family 2 member 4
SLC2A4,403673.0,solute carrier family 2 member 4,6517,solute carrier family 2 member 4
ZBTB4,489474.0,zinc finger and BTB domain containing 4,57659,zinc finger and BTB domain containing 4
ZBTB4,489474.0,zinc finger and BTB domain containing 4,57659,zinc finger and BTB domain containing 4
TNFSF12,100568280.0,"tumor necrosis factor (ligand) superfamily, member 12",8742,TNF superfamily member 12
TNFSF13,100568281.0,TNF superfamily member 13,8741,TNF superfamily member 13
EIF4A1,100688577.0,eukaryotic translation initiation factor 4A1,1973,eukaryotic translation initiation factor 4A1
TP53,403869.0,tumor protein p53,7157,tumor protein p53
GUCY2D,403863.0,"guanylate cyclase 2D, retinal",3000,"guanylate cyclase 2D, retinal"
RPL26,479496.0,ribosomal protein L26,6154,ribosomal protein L26
RCVRN,489500.0,recoverin,5957,recoverin
MYH8,403808.0,"myosin, heavy chain 8, skeletal muscle, perinatal",4626,myosin heavy chain 8
MYH4,479502.0,myosin heavy chain 4,4622,myosin heavy chain 4
MYH1,100135061.0,"myosin, heavy chain 1, skeletal muscle, adult",4619,myosin heavy chain 1
MYH2,608242.0,"myosin, heavy chain 2, skeletal muscle, adult",4620,myosin heavy chain 2
MYH3,489504.0,"myosin, heavy chain 3, skeletal muscle, embryonic",4621,myosin heavy chain 3
TVP23B,489517.0,trans-golgi network vesicle protein 23 homolog B,51030,trans-golgi network vesicle protein 23 homolog B
ADORA2B,403410.0,adenosine A2b receptor,136,adenosine A2b receptor
ALDH3A1,489526.0,aldehyde dehydrogenase 3 family member A1,218,aldehyde dehydrogenase 3 family member A1
SREBF1,403475.0,sterol regulatory element binding transcription factor 1,6720,sterol regulatory element binding transcription factor 1
MIR33B,100885995.0,microRNA 33b,693120,microRNA 33b
FLCN,479529.0,folliculin,201163,folliculin
KCNJ12,403760.0,potassium voltage-gated channel subfamily J member 12,3768,potassium inwardly rectifying channel subfamily J member 12
IL12RB2,489550.0,interleukin 12 receptor subunit beta 2,3595,interleukin 12 receptor subunit beta 2
LEPR,450207.0,leptin receptor,3953,leptin receptor
LEPROT,609115.0,leptin receptor overlapping transcript,54741,leptin receptor overlapping transcript
MIR101-1,100886053.0,microRNA 101-1,406893,microRNA 101-1
JAK1,442952.0,Janus kinase 1,3716,Janus kinase 1
FAM151A,489575.0,family with sequence similarity 151 member A,338094,family with sequence similarity 151 member A
DIO1,403635.0,iodothyronine deiodinase 1,1733,iodothyronine deiodinase 1
SLC1A7,100505395.0,solute carrier family 1 member 7,6512,solute carrier family 1 member 7
MIR200B,100885997.0,microRNA 200b,406984,microRNA 200b
MIR200A,100885998.0,microRNA 200a,406983,microRNA 200a
MIR429,100886110.0,microRNA 429,554210,microRNA 429
TNFRSF18,606971.0,TNF receptor superfamily member 18,8784,TNF receptor superfamily member 18
B3GALT6,664717.0,"beta-1,3-galactosyltransferase 6",126792,"beta-1,3-galactosyltransferase 6"
TAS1R3,489594.0,taste 1 receptor member 3,83756,taste 1 receptor member 3
SSU72,479567.0,"SSU72 homolog, RNA polymerase II CTD phosphatase",29101,"SSU72 homolog, RNA polymerase II CTD phosphatase"
GNB1,403912.0,G protein subunit beta 1,2782,G protein subunit beta 1
TNFRSF14,479580.0,TNF receptor superfamily member 14,8764,TNF receptor superfamily member 14
TNFRSF14,479580.0,TNF receptor superfamily member 14,8764,TNF receptor superfamily member 14
MIR551A,100886023.0,microRNA 551a,693135,microRNA 551a
NPHP4,489625.0,nephrocystin 4,261734,nephrocystin 4
CA6,403503.0,carbonic anhydrase 6,765,carbonic anhydrase 6
MIR34A,100886052.0,microRNA 34a,407040,microRNA 34a
MC1R,489652.0,melanocortin 1 receptor (alpha melanocyte stimulating hormone receptor),4157,melanocortin 1 receptor
GALNS,489661.0,galactosamine (N-acetyl)-6-sulfatase,2588,galactosamine (N-acetyl)-6-sulfatase
CYBA,489664.0,"cytochrome b-245, alpha polypeptide",1535,cytochrome b-245 alpha chain
SLC7A5,489667.0,solute carrier family 7 member 5,8140,solute carrier family 7 member 5
CFDP1,403675.0,craniofacial development protein 1,10428,craniofacial development protein 1
CHST4,489722.0,carbohydrate sulfotransferase 4,10164,carbohydrate sulfotransferase 4
WWP2,479672.0,WW domain containing E3 ubiquitin protein ligase 2,11060,WW domain containing E3 ubiquitin protein ligase 2
MIR140,100885928.0,microRNA 140,406932,microRNA 140
NIP7,479673.0,"NIP7, nucleolar pre-rRNA processing protein",51388,nucleolar pre-rRNA processing protein NIP7
CDH1,442858.0,cadherin 1,999,cadherin 1
PLA2G15,403403.0,phospholipase A2 group XV,23659,phospholipase A2 group XV
SLC12A4,479679.0,solute carrier family 12 member 4,6560,solute carrier family 12 member 4
MIR328,100886131.0,microRNA 328,442901,microRNA 328
HSF4,489766.0,heat shock transcription factor 4,3299,heat shock transcription factor 4
CMTM1,611367.0,CKLF like MARVEL transmembrane domain containing 1,113540,CKLF like MARVEL transmembrane domain containing 1
CKLF,611371.0,chemokine like factor,51192,chemokine like factor
GUSB,403831.0,glucuronidase beta,2990,glucuronidase beta
MIR590,100886185.0,microRNA 590,693175,microRNA 590
CLDN3,403648.0,claudin 3,1365,claudin 3
CCL26,448789.0,C-C motif chemokine ligand 26,10344,C-C motif chemokine ligand 26
CCL24,445452.0,C-C motif chemokine ligand 24,6369,C-C motif chemokine ligand 24
POR,489816.0,P450 (cytochrome) oxidoreductase,5447,cytochrome p450 oxidoreductase
HSPB1,403979.0,heat shock protein family B (small) member 1,3315,heat shock protein family B (small) member 1
ZP3,403894.0,zona pellucida glycoprotein 3,7784,zona pellucida glycoprotein 3
SERPINE1,403476.0,serpin family E member 1,5054,serpin family E member 1
EPO,404002.0,erythropoietin,2056,erythropoietin
MIR106B,100885933.0,microRNA 106b,406900,microRNA 106b
MIR93,100886133.0,microRNA 93,407050,microRNA 93
MIR25,100885934.0,microRNA 25,407014,microRNA 25
AZGP1,479739.0,"alpha-2-glycoprotein 1, zinc-binding",563,"alpha-2-glycoprotein 1, zinc-binding"
EIF2AK1,100302056.0,eukaryotic translation initiation factor 2 alpha kinase 1,27102,eukaryotic translation initiation factor 2 alpha kinase 1
RAC1,403955.0,Rac family small GTPase 1,5879,Rac family small GTPase 1
ACTB,403580.0,actin beta,60,actin beta
MIR589,100886072.0,microRNA 589,693174,microRNA 589
PDGFA,491597.0,platelet derived growth factor subunit A,5154,platelet derived growth factor subunit A
SLC5A2,492301.0,solute carrier family 5 member 2,6524,solute carrier family 5 member 2
ITGAD,489930.0,integrin subunit alpha D,3681,integrin subunit alpha D
CTF1,403821.0,cardiotrophin 1,1489,cardiotrophin 1
TMEM265,607399.0,transmembrane protein 265,100862671,transmembrane protein 265
SEPHS2,489904.0,selenophosphate synthetase 2,22928,selenophosphate synthetase 2
MVP,479783.0,major vault protein,9961,major vault protein
MAPK3,100855877.0,mitogen-activated protein kinase 3,5595,mitogen-activated protein kinase 3
SULT1A1,403892.0,"sulfotransferase family, cytosolic, 1A, phenol-preferring, member 1",6817,sulfotransferase family 1A member 1
CLN3,479794.0,"CLN3, battenin",1201,"CLN3 lysosomal/endosomal transmembrane protein, battenin"
SCNN1B,489972.0,sodium channel epithelial 1 beta subunit,6338,sodium channel epithelial 1 subunit beta
ZP2,403988.0,zona pellucida glycoprotein 2,7783,zona pellucida glycoprotein 2
ZP2,403988.0,zona pellucida glycoprotein 2,7783,zona pellucida glycoprotein 2
UMOD,403510.0,uromodulin,7369,uromodulin
GP2,442972.0,glycoprotein 2,2813,glycoprotein 2
RPS15A,100683775.0,ribosomal protein S15a,6210,ribosomal protein S15a
XYLT1,494008.0,xylosyltransferase 1,64131,xylosyltransferase 1
XYLT1,494008.0,xylosyltransferase 1,64131,xylosyltransferase 1
ABCC1,403453.0,ATP binding cassette subfamily C member 1,4363,ATP binding cassette subfamily C member 1 (ABCC1 blood group)
ABCC1,403453.0,ATP binding cassette subfamily C member 1,4363,ATP binding cassette subfamily C member 1 (ABCC1 blood group)
NDE1,100684378.0,nudE neurodevelopment protein 1,54820,nudE neurodevelopment protein 1
NDE1,100684378.0,nudE neurodevelopment protein 1,54820,nudE neurodevelopment protein 1
MIR193B,100886054.0,microRNA 193b,574455,microRNA 193b
PRM2,100686082.0,protamine 2,5620,protamine 2
TNP2,479849.0,transition protein 2,7142,transition protein 2
DNASE1,403413.0,deoxyribonuclease 1,1773,deoxyribonuclease 1
TNFRSF12A,610734.0,TNF receptor superfamily member 12A,51330,TNF receptor superfamily member 12A
PKD1,606755.0,"polycystin 1, transient receptor potential channel interacting",5310,"polycystin 1, transient receptor potential channel interacting"
PKD1,606755.0,"polycystin 1, transient receptor potential channel interacting",5310,"polycystin 1, transient receptor potential channel interacting"
MSRB1,611032.0,methionine sulfoxide reductase B1,51734,methionine sulfoxide reductase B1
MSRB1,611032.0,methionine sulfoxide reductase B1,51734,methionine sulfoxide reductase B1
SSTR5,403454.0,somatostatin receptor 5,6755,somatostatin receptor 5
HAGHL,490087.0,hydroxyacylglutathione hydrolase like,84264,hydroxyacylglutathione hydrolase like
KCNA2,404022.0,potassium voltage-gated channel subfamily A member 2,3737,potassium voltage-gated channel subfamily A member 2
MIR197,100885935.0,microRNA 197,406974,microRNA 197
TAF13,100688743.0,TATA-box binding protein associated factor 13,6884,TATA-box binding protein associated factor 13
S1PR1,490138.0,sphingosine-1-phosphate receptor 1,1901,sphingosine-1-phosphate receptor 1
VCAM1,403982.0,vascular cell adhesion molecule 1,7412,vascular cell adhesion molecule 1
SLC35A3,442991.0,solute carrier family 35 member A3,23443,solute carrier family 35 member A3
AGL,479931.0,"amylo-alpha-1, 6-glucosidase, 4-alpha-glucanotransferase",178,"amylo-alpha-1, 6-glucosidase, 4-alpha-glucanotransferase"
MIR137,100885936.0,microRNA 137,406928,microRNA 137
F3,490153.0,"coagulation factor III, tissue factor",2152,"coagulation factor III, tissue factor"
ABCA4,444852.0,ATP binding cassette subfamily A member 4,24,ATP binding cassette subfamily A member 4
GFI1,490156.0,growth factor independent 1 transcriptional repressor,2672,growth factor independent 1 transcriptional repressor
SELENOF,612493.0,selenoprotein F,9403,selenoprotein F
UOX,490189.0,urate oxidase,391051,urate oxidase (pseudogene)
ADGRL2,490193.0,adhesion G protein-coupled receptor L2,23266,adhesion G protein-coupled receptor L2
PTGFR,479981.0,prostaglandin F receptor,5737,prostaglandin F receptor
ASB17,403539.0,ankyrin repeat and SOCS box containing 17,127247,ankyrin repeat and SOCS box containing 17
CRYZ,611431.0,crystallin zeta,1429,crystallin zeta
TNNI3K,100533996.0,TNNI3 interacting kinase,51086,TNNI3 interacting kinase
FPGT,100533995.0,fucose-1-phosphate guanylyltransferase,8790,fucose-1-phosphate guanylyltransferase
MIR186,100885932.0,microRNA 186,406962,microRNA 186
PTGER3,403430.0,prostaglandin E receptor 3,5733,prostaglandin E receptor 3
RPE65,403803.0,"RPE65, retinoid isomerohydrolase",6121,retinoid isomerohydrolase RPE65
CHI3L1,490222.0,chitinase 3 like 1,1116,chitinase 3 like 1
ADORA1,403961.0,adenosine A1 receptor,134,adenosine A1 receptor
CYB5R1,606823.0,"NAD(P)H:quinone oxidoreductase type 3, polypeptide A2",51706,cytochrome b5 reductase 1
TNNT2,403532.0,"troponin T2, cardiac type",7139,"troponin T2, cardiac type"
PKP1,607140.0,plakophilin 1 (ectodermal dysplasia/skin fragility syndrome),5317,plakophilin 1
ASPM,480009.0,abnormal spindle microtubule assembly,259266,assembly factor for spindle microtubules
IL10,403628.0,interleukin 10,3586,interleukin 10
PIGR,474357.0,polymeric immunoglobulin receptor,5284,polymeric immunoglobulin receptor
CD34,415130.0,CD34 molecule,947,CD34 molecule
MIR205,100885986.0,microRNA 205,406988,microRNA 205
HSD11B1,449023.0,hydroxysteroid 11-beta dehydrogenase 1,3290,hydroxysteroid 11-beta dehydrogenase 1
TRAF5,480019.0,TNF receptor associated factor 5,7188,TNF receptor associated factor 5
XPR1,490301.0,xenotropic and polytropic retrovirus receptor 1,9213,xenotropic and polytropic retrovirus receptor 1
GLUL,403443.0,glutamate-ammonia ligase,2752,glutamate-ammonia ligase
RNASEL,490310.0,ribonuclease L,6041,ribonuclease L
LAMC2,442939.0,laminin subunit gamma 2,3918,laminin subunit gamma 2
NCF2,480036.0,neutrophil cytosolic factor 2,4688,neutrophil cytosolic factor 2
PDC,403624.0,phosducin,5132,phosducin
PTGS2,442942.0,prostaglandin-endoperoxide synthase 2,5743,prostaglandin-endoperoxide synthase 2
ANGPTL1,612843.0,angiopoietin like 1,9068,angiopoietin like 1
MIR488,100886162.0,microRNA 488,574441,microRNA 488
MIR1843,100886087.0,microRNA 1843,113839518,microRNA 1843
FASLG,442968.0,Fas ligand,356,Fas ligand
MIR214,100886064.0,microRNA 214,406996,microRNA 214
MYOC,490344.0,myocilin,4653,myocilin
FMO1,403604.0,flavin containing monooxygenase 1,2326,flavin containing dimethylaniline monoxygenase 1
FMO3,403603.0,flavin containing monooxygenase 3,2328,flavin containing dimethylaniline monoxygenase 3
SELE,403999.0,selectin E,6401,selectin E
SELP,403994.0,selectin P,6403,selectin P
ATP1B1,403966.0,ATPase Na+/K+ transporting subunit beta 1,481,ATPase Na+/K+ transporting subunit beta 1
DPT,490355.0,dermatopontin,1805,dermatopontin
TBX19,449029.0,T-box 19,9095,T-box transcription factor 19
ADCY10,480087.0,"adenylate cyclase 10, soluble",55811,adenylate cyclase 10
KMO,480093.0,kynurenine 3-monooxygenase,8564,kynurenine 3-monooxygenase
PSEN2,490382.0,presenilin 2,5664,presenilin 2
TMEM63A,490389.0,transmembrane protein 63A,9725,transmembrane protein 63A
CD5L,609953.0,CD5 molecule like,922,CD5 molecule like
BCAN,612102.0,brevican,63827,brevican
BCAN,612102.0,brevican,63827,brevican
MIR9-1,100885941.0,microRNA 9-1,407046,microRNA 9-1
RHBG,403538.0,Rh family B glycoprotein,57127,Rh family B glycoprotein
LMNA,480124.0,lamin A/C,4000,lamin A/C
RAB25,490418.0,"RAB25, member RAS oncogene family",57111,"RAB25, member RAS oncogene family"
SSR2,403950.0,signal sequence receptor subunit 2,6746,signal sequence receptor subunit 2
ARHGEF2,403498.0,Rho/Rac guanine nucleotide exchange factor 2,9181,Rho/Rac guanine nucleotide exchange factor 2
PKLR,490425.0,"pyruvate kinase, liver and RBC",5313,pyruvate kinase L/R
PKLR,490425.0,"pyruvate kinase, liver and RBC",5313,pyruvate kinase L/R
MIR92B,100885938.0,microRNA 92b,693235,microRNA 92b
MUC1,448784.0,"mucin 1, cell surface associated",4582,"mucin 1, cell surface associated"
KRTCAP2,480131.0,keratinocyte associated protein 2,200185,keratinocyte associated protein 2
MIR190B,100886001.0,microRNA 190b,100126346,microRNA 190b
TPM3,480137.0,tropomyosin 3,7170,tropomyosin 3
RPS27,612291.0,ribosomal protein S27,6232,ribosomal protein S27
RAB13,612294.0,"RAB13, member RAS oncogene family",5872,"RAB13, member RAS oncogene family"
S100A4,403787.0,S100 calcium binding protein A4,6275,S100 calcium binding protein A4
S100A8,490461.0,S100 calcium binding protein A8,6279,S100 calcium binding protein A8
PIK3C3,490477.0,phosphatidylinositol 3-kinase catalytic subunit type 3,5289,phosphatidylinositol 3-kinase catalytic subunit type 3
SLC39A6,480159.0,solute carrier family 39 member 6,25800,solute carrier family 39 member 6
MIR187,100885984.0,microRNA 187,406963,microRNA 187
DSG3,403470.0,desmoglein 3,1830,desmoglein 3
DSG1,403401.0,desmoglein 1,1828,desmoglein 1
DSC1,490501.0,desmocollin 1,1823,desmocollin 1
CDH2,480169.0,cadherin 2,1000,cadherin 2
CABYR,100270706.0,calcium binding tyrosine phosphorylation regulated,26256,calcium binding tyrosine phosphorylation regulated
NPC1,403698.0,NPC intracellular cholesterol transporter 1,4864,NPC intracellular cholesterol transporter 1
MIR1-2,100885937.0,microRNA 1-2,406905,microRNA 1-2
SNRPD1,480178.0,small nuclear ribonucleoprotein D1 polypeptide,6632,small nuclear ribonucleoprotein D1 polypeptide
CLUL1,403747.0,clusterin like 1,27098,clusterin like 1
TYMS,607417.0,thymidylate synthetase,7298,thymidylate synthetase
YES1,403917.0,"YES proto-oncogene 1, Src family tyrosine kinase",7525,"YES proto-oncogene 1, Src family tyrosine kinase"
SLC7A8,490608.0,solute carrier family 7 member 8,23428,solute carrier family 7 member 8
BCL2L2,490611.0,BCL2 like 2,599,BCL2 like 2
PABPN1,100170671.0,poly(A) binding protein nuclear 1,8106,poly(A) binding protein nuclear 1
MIR208A,100886096.0,microRNA 208a,406990,microRNA 208a
MYH7,403807.0,myosin heavy chain 7,4625,myosin heavy chain 7
MIR208B,100885999.0,microRNA 208b,100126336,microRNA 208b
DHRS4,480254.0,dehydrogenase/reductase 4,10901,dehydrogenase/reductase 4
DHRS4,480254.0,dehydrogenase/reductase 4,10901,dehydrogenase/reductase 4
TGM1,403630.0,transglutaminase 1,7051,transglutaminase 1
TGM1,403630.0,transglutaminase 1,7051,transglutaminase 1
CMA1,490628.0,"chymase 1, mast cell",1215,chymase 1
SRP54,403953.0,signal recognition particle 54,6729,signal recognition particle 54
SSTR1,403455.0,somatostatin receptor 1,6751,somatostatin receptor 1
PNN,403907.0,"pinin, desmosome associated protein",5411,"pinin, desmosome associated protein"
RN7SL1,102723304.0,"RNA, 7SL, cytoplasmic 1",6029,RNA component of signal recognition particle 7SL1
RPL36AL,480311.0,ribosomal protein L36a like,6166,ribosomal protein L36a like
PYGL,403738.0,glycogen phosphorylase L,5836,glycogen phosphorylase L
PTGER2,403797.0,prostaglandin E receptor 2,5732,prostaglandin E receptor 2
BMP4,490695.0,bone morphogenetic protein 4,652,bone morphogenetic protein 4
LGALS3,404021.0,galectin 3,3958,galectin 3
RTN1,474178.0,reticulon 1,6252,reticulon 1
SIX1,490719.0,SIX homeobox 1,6495,SIX homeobox 1
HIF1A,480348.0,hypoxia inducible factor 1 alpha subunit,3091,hypoxia inducible factor 1 subunit alpha
ZBTB1,490731.0,zinc finger and BTB domain containing 1,22890,zinc finger and BTB domain containing 1
SPTB,490734.0,"spectrin beta, erythrocytic",6710,"spectrin beta, erythrocytic"
GPX2,480356.0,glutathione peroxidase 2,2877,glutathione peroxidase 2
FUT8,448804.0,fucosyltransferase 8,2530,fucosyltransferase 8
ARG2,480364.0,arginase 2,384,arginase 2
COX16,100846976.0,COX16 cytochrome c oxidase assembly homolog (S. cerevisiae),51241,cytochrome c oxidase assembly factor COX16
SYNJ2BP,490757.0,synaptojanin 2 binding protein,55333,synaptojanin 2 binding protein
PSEN1,403408.0,presenilin 1,5663,presenilin 1
NPC2,403920.0,NPC intracellular cholesterol transporter 2,10577,NPC intracellular cholesterol transporter 2
ACYP1,480390.0,acylphosphatase 1,97,acylphosphatase 1
NGB,442944.0,neuroglobin,58157,neuroglobin
DIO2,490813.0,iodothyronine deiodinase 2,1734,iodothyronine deiodinase 2
TSHR,403968.0,thyroid stimulating hormone receptor,7253,thyroid stimulating hormone receptor
GALC,403916.0,galactosylceramidase,2581,galactosylceramidase
TTC8,480413.0,tetratricopeptide repeat domain 8,123016,tetratricopeptide repeat domain 8
PSMC1,100688636.0,"proteasome 26S subunit, ATPase 1",5700,"proteasome 26S subunit, ATPase 1"
SERPINA1,480422.0,serpin family A member 1,5265,serpin family A member 1
SERPINA1,480422.0,serpin family A member 1,5265,serpin family A member 1
BDKRB2,403658.0,bradykinin receptor B2,624,bradykinin receptor B2
BDKRB1,490847.0,bradykinin receptor B1,623,bradykinin receptor B1
MIR342,100885942.0,microRNA 342,442909,microRNA 342
MIR345,100885943.0,microRNA 345,442910,microRNA 345
MIR493,100885944.0,microRNA 493,574450,microRNA 493
MIR665,100886035.0,microRNA 665,100126315,microRNA 665
MIR433,100886088.0,microRNA 433,574034,microRNA 433
MIR127,100886107.0,microRNA 127,406914,microRNA 127
MIR432,100886099.0,microRNA 432,574451,microRNA 432
MIR136,100885945.0,microRNA 136,406927,microRNA 136
MIR370,100886159.0,microRNA 370,442915,microRNA 370
MIR379,100886137.0,microRNA 379,494328,microRNA 379
MIR411,100885946.0,microRNA 411,693121,microRNA 411
MIR299,100886008.0,microRNA 299,407023,microRNA 299
MIR380,100885947.0,microRNA 380,494329,microRNA 380
MIR758,100886030.0,microRNA 758,768212,microRNA 758
MIR494,100886071.0,microRNA 494,574452,microRNA 494
MIR543,100886138.0,microRNA 543,100126335,microRNA 543
MIR495,100885949.0,microRNA 495,574453,microRNA 495
MIR376C,100886069.0,microRNA 376c,442913,microRNA 376c
MIR376B,100886009.0,microRNA 376b,574435,microRNA 376b
MIR300,100886074.0,microRNA 300,100126297,microRNA 300
MIR381,100886011.0,microRNA 381,494330,microRNA 381
MIR487B,100886057.0,microRNA 487b,664616,microRNA 487b
MIR539,100886163.0,microRNA 539,664612,microRNA 539
MIR889,104795016.0,microRNA 889,100126345,microRNA 889
MIR487A,100886018.0,microRNA 487a,619555,microRNA 487a
MIR382,100885951.0,microRNA 382,494331,microRNA 382
MIR134,100886158.0,microRNA 134,406924,microRNA 134
MIR485,100885952.0,microRNA 485,574436,microRNA 485
MIR496,100886019.0,microRNA 496,574454,microRNA 496
MIR377,100886010.0,microRNA 377,494326,microRNA 377
MIR409,100885953.0,microRNA 409,574413,microRNA 409
MIR369,100885954.0,microRNA 369,442914,microRNA 369
MIR410,100886140.0,microRNA 410,574434,microRNA 410
DIO3,612596.0,iodothyronine deiodinase 3,1735,iodothyronine deiodinase 3
AMN,403434.0,amnion associated transmembrane protein,81693,amnion associated transmembrane protein
HGS,483367.0,hepatocyte growth factor-regulated tyrosine kinase substrate,9146,hepatocyte growth factor-regulated tyrosine kinase substrate
PDE6G,403911.0,phosphodiesterase 6G,5148,phosphodiesterase 6G
ACTG1,475923.0,actin gamma 1,71,actin gamma 1
ACTG1,475923.0,actin gamma 1,71,actin gamma 1
MIR338,100885961.0,microRNA 338,442906,microRNA 338
SGSH,403707.0,N-sulfoglucosamine sulfohydrolase,6448,N-sulfoglucosamine sulfohydrolase
SGSH,403707.0,N-sulfoglucosamine sulfohydrolase,6448,N-sulfoglucosamine sulfohydrolase
TIMP2,403633.0,TIMP metallopeptidase inhibitor 2,7077,TIMP metallopeptidase inhibitor 2
SOCS3,442949.0,suppressor of cytokine signaling 3,9021,suppressor of cytokine signaling 3
BIRC5,442936.0,baculoviral IAP repeat containing 5,332,baculoviral IAP repeat containing 5
SYNGR2,100687829.0,synaptogyrin 2,9144,synaptogyrin 2
MIR6516,104795020.0,microRNA 6516,102466864,microRNA 6516
ST6GALNAC1,100049002.0,"ST6 N-acetylgalactosaminide alpha-2,6-sialyltransferase 1",55808,"ST6 N-acetylgalactosaminide alpha-2,6-sialyltransferase 1"
ST6GALNAC2,100049005.0,"ST6 N-acetylgalactosaminide alpha-2,6-sialyltransferase 2",10610,"ST6 N-acetylgalactosaminide alpha-2,6-sialyltransferase 2"
PRCD,100049006.0,photoreceptor disc component,768206,photoreceptor disc component
CYGB,609341.0,cytoglobin,114757,cytoglobin
RHBDF2,483332.0,rhomboid 5 homolog 2,79651,rhomboid 5 homolog 2
AANAT,483331.0,aralkylamine N-acetyltransferase,15,aralkylamine N-acetyltransferase
ZACN,483326.0,zinc activated ion channel,353174,zinc activated ion channel
SRP68,403952.0,signal recognition particle 68,6730,signal recognition particle 68
UNK,444855.0,unkempt family zinc finger,85451,unk zinc finger
GALK1,403694.0,galactokinase 1,2584,galactokinase 1
SUMO2,474963.0,small ubiquitin-like modifier 2,6613,small ubiquitin like modifier 2
JPT1,450237.0,Jupiter microtubule associated homolog 1,51155,Jupiter microtubule associated homolog 1
SSTR2,403472.0,somatostatin receptor 2,6752,somatostatin receptor 2
SOX9,403464.0,SRY-box 9,6662,SRY-box transcription factor 9
ITGB3,403788.0,integrin subunit beta 3,3690,integrin subunit beta 3
MAPT,480488.0,microtubule associated protein tau,4137,microtubule associated protein tau
MAPT,480488.0,microtubule associated protein tau,4137,microtubule associated protein tau
MAPT,480488.0,microtubule associated protein tau,4137,microtubule associated protein tau
GH1,403795.0,growth hormone,2688,growth hormone 1
DDX5,480472.0,DEAD-box helicase 5,1655,DEAD-box helicase 5
APOH,403945.0,apolipoprotein H,350,apolipoprotein H
ARSG,480460.0,arylsulfatase G,22901,arylsulfatase G
KCNJ16,611045.0,potassium voltage-gated channel subfamily J member 16,3773,potassium inwardly rectifying channel subfamily J member 16
KCNJ2,403717.0,potassium voltage-gated channel subfamily J member 2,3759,potassium inwardly rectifying channel subfamily J member 2
GJC1,490936.0,gap junction protein gamma 1,10052,gap junction protein gamma 1
ITGA2B,403789.0,integrin subunit alpha 2b,3674,integrin subunit alpha 2b
SLC4A1,490939.0,solute carrier family 4 member 1 (Diego blood group),6521,solute carrier family 4 member 1 (Diego blood group)
PPY,490944.0,pancreatic polypeptide,5539,pancreatic polypeptide
BRCA1,403437.0,"BRCA1, DNA repair associated",672,BRCA1 DNA repair associated
RPL27,403688.0,ribosomal protein L27,6155,ribosomal protein L27
TUBG1,403695.0,"tubulin, gamma 1",7283,tubulin gamma 1
HCRT,607641.0,hypocretin neuropeptide precursor,3060,hypocretin neuropeptide precursor
RAB5C,403941.0,"RAB5C, member RAS oncogene family",5878,"RAB5C, member RAS oncogene family"
JUP,480522.0,junction plakoglobin,3728,junction plakoglobin
EIF1,403674.0,eukaryotic translation initiation factor 1,10209,eukaryotic translation initiation factor 1
KRT14,100685323.0,keratin 14,3861,keratin 14
KRT19,100685481.0,keratin 19,3880,keratin 19
KRT15,100685404.0,keratin 15,3866,keratin 15
KRT13,490983.0,keratin 13,3860,keratin 13
KRT33B,607876.0,keratin 33B,3884,keratin 33B
KRT33B,607876.0,keratin 33B,3884,keratin 33B
KRT33B,607876.0,keratin 33B,3884,keratin 33B
KRT33A,490991.0,keratin 33A,3883,keratin 33A
KRT33A,490991.0,keratin 33A,3883,keratin 33A
KRT33A,490991.0,keratin 33A,3883,keratin 33A
KRT40,608072.0,keratin 40,125115,keratin 40
KRT40,608072.0,keratin 40,125115,keratin 40
KRT23,491005.0,keratin 23,25984,keratin 23
KRT23,491005.0,keratin 23,25984,keratin 23
KRT12,100034663.0,keratin 12,3859,keratin 12
KRT12,100034663.0,keratin 12,3859,keratin 12
KRT28,608107.0,keratin 28,162605,keratin 28
KRT27,491007.0,keratin 27,342574,keratin 27
KRT26,491008.0,keratin 26,353288,keratin 26
KRT25,100686957.0,keratin 25,147183,keratin 25
KRT222,100687121.0,keratin 222,125113,keratin 222
RARA,480526.0,retinoic acid receptor alpha,5914,retinoic acid receptor alpha
THRA,403601.0,"thyroid hormone receptor, alpha",7067,thyroid hormone receptor alpha
ERBB2,403883.0,erb-b2 receptor tyrosine kinase 2,2064,erb-b2 receptor tyrosine kinase 2
PGAP3,491022.0,post-GPI attachment to proteins 3,93210,post-GPI attachment to proteins phospholipase 3
TCAP,608508.0,titin-cap,8557,titin-cap
RPL19,403682.0,ribosomal protein L19,6143,ribosomal protein L19
RPL23,403683.0,ribosomal protein L23,9349,ribosomal protein L23
PSMB3,480537.0,proteasome subunit beta 3,5691,proteasome 20S subunit beta 3
PSMB3,480537.0,proteasome subunit beta 3,5691,proteasome 20S subunit beta 3
MIR152,100886059.0,microRNA 152,406943,microRNA 152
MIR10A,100885960.0,microRNA 10a,406902,microRNA 10a
GNGT2,403617.0,G protein subunit gamma transducin 2,2793,G protein subunit gamma transducin 2
COL1A1,403651.0,collagen type I alpha 1 chain,1277,collagen type I alpha 1 chain
